index`tcommit`tsubject`tgit_cherry`tadoption_action
1	08e6a825180482b6f9cb251fae6f29fb76bd527f	feat: bind Share dispatch to server authority	+	product_candidate
2	4aed97940472d874b65008fd880b21c4e178d173	feat: simplify the Share delivery flow	+	product_candidate
3	e2f16da5efd09e393a459b5efd0a9e51d9f6a558	docs: amend Share browser authority	+	contract_authority
4	fae7059e588c5b571cf4fb5918884cd8c5ef1365	fix: harden Share browser delivery	+	product_candidate
5	0befdc1799b419d7b379cbbbf10d7e2320cd7d46	chore: record Share v2 product evidence	+	evidence_only
6	bec9dd71f2a249bc184abea477e911afd10845ca	fix: harden Share v2 dispatch authority	+	product_candidate
7	fc2bd1783fcc413981306f689d67bb6c659a985e	fix: preserve Share stale recovery state	+	product_candidate
8	22de1180d69263f7c08ac0ed0cfda0894e2db7f5	chore: record Share v2 remediation evidence	+	evidence_only
9	7141baac3e0abca146ef6c110093c1c0643760a2	fix: guard Share outcomes by request scope	+	product_candidate
10	3162b4fe5e7ea32f139ff66bffa7835b14e29bd4	fix: verify Share browser harness teardown	+	test_harness_candidate
